prompt,completion
"40, man, flight","

This man is 40 years old, with a tall and muscular build, his features chiseled defined. His shoulder bear broad wings, golden and feathery, like a great eagle's, that emerge from his shoulder blades. He wears brown cargo pants, a black T-shirt, and a blue flannel around his toned waist. His black locks of thick hair are streaked with silver representing his years. His piercing black eyes command attentiveness and alertness. His arms outstretched, he peers powerfully ahead and then, with a flex of body, he is airborne, soaring through the sky with a mastery and grace, the authority of a god in the clouds."
"40, woman, invisibility","

At 40 years of age, this woman stands proudly at 5'8"". Her long, dark hair is usually pulled back into a traditional bun, but there's a faint hint of grey in her locks that betrays her age. Her eyes, a brilliant shade of deep blue, have a certain shine to them that almost suggest a certain hollowness, yet speaks to a deep-rooted strength. She wears simple, dark clothing to blend in with her surroundings when she's using her mysterious superpower of invisibility. Her lean frame and quiet demeanor come alive when she uses her power, feeling brave, unstoppable, and invulnerable."
"40, woman, invisibility","

At 40, she stands tall and proud, with silver-streaked dark brown hair, and a determined look in her deep green eyes. She’s been blessed with the power of invisibility, able to blend seamlessly with her surroundings, away from prying eyes. Her superpower allows her to move unseen and unheard, to take whatever information she seeks, and act on her own terms. Though her body speaks of her age, her movements are as sure and steady as if lifted by a youthful energy. She is elegant yet powerful, invoking an air of mystery and awe. No one can predict where she’ll be or what she’ll do next, and that’s just the way she likes it."
"40, woman, invisibility","

A 40-year-old woman with an invisible superpower stands 5’2” tall, with dark wavy hair and stunning hazel eyes. Often depicted with a mischievous smirk, she has a figure that appears quite petite but is agile, strong and surprisingly athletic. She loves to snoop and observe her surroundings, enabling her to know more than those she interacts with. Her hair is usually stringed up in a tight bun, hinting at her serious demeanor, while her style is eclectic and sporty. She is often shying away from attention yet exuding confidence, as she has nothing to hide with her superpower. Her abilities are something she takes very seriously as she strives to use them for the greater good."
"40, woman, read in the thoughts","

She was naturally chubby with short, brown layers around her face. She wore a hot pink, sequin-encrusted t-shirt tucked into a pair of light blue ripped jeans. Her hands were calloused from hard work, her own superpower enabling her to read others' thoughts something she kept secret from her family and friends. Her rosy cheeks and wide, green eyes were full of warmth, kindness and empathy for others. When she smiled, a contagious spark of happiness lit up the room. She had an intelligent mind and quick wit that surprised people in conversation. Her superpower allowed her to deconstruct an individual's deepest thoughts, understand their unique point of view, and offer help and advice as needed."
"40, woman, read in the thoughts","

This is Alice, a 40 year old woman with the power of being able to read people's thoughts. Her own thoughts are a vibrant mix of reason and emotion. She's a mix of both practical and creative, patient and eager, serious yet carefree. She is confident, but not arrogant; wise, but not insensitive. She uses her ability to perceive the true thoughts of others with great care, and she attempts to use it as a means of helping those around her. Alice understands the consequences of using her power without restraint, and is determined to make sure it is utilized for good."
"40, woman, read in the thoughts","

Cindy is a 40 year-old woman who has the superpower of reading thoughts. She stands tall with blue eyes, auburn hair cascading down her pale, freckled face, and her lips curved in a subtle smirk. She wears a tailored gray blouse, black trousers and black brogues, perfectly tailored. Her posture is confident and self-assured; a woman who knows her worth. Her superpower is fueled by a strong empathy for others and sharp intellect. Even when her eyes are closed, she can sense emotions and minds; a skill that comes in handy when making judgements. Whether she’s observed something seemingly insignificant or experienced an intense moment, Cindy can read the thoughts of those around her as if they were her own."
"40, woman, turning lead into gold","

Diana was a 40-year-old woman of average height, with lightly tanned skin and chestnut brown hair, streaked with grey in some places. She had a wide, blue-eyed gaze, a smile that softened with age, and a confident, open-minded spirit. Diana was a devoted single mother, spending most of her free time caring for her two young children. Unknown to all around her, Diana possessed a very special, almost magical ability - to turn lead into gold. With a simple gesture, she could transmute the once dull metal into pure, shining gold and sustain her family's financial needs. Despite the great responsibility that came with such a power, Diana embraced it with strength, courage and generosity."
"40, woman, turning lead into gold","

A 40-year-old woman stands confidently in her own special light. Physically she is average height, broad shouldered, toned with few wrinkles, and striking gray eyes that captivate all who meet her. Although humble, she radiates a natural charm. Her superpower of turning lead into gold comes as a result of her tenacity and desire to help others. She is wise beyond her years and uses her superpower with great compassion to help her community. Her strong and inspiring energy is revered by all. When she uses her unique gift, the sheer sensation of energy that sways the air is palpable. She works diligently to become even greater, continuously showing what can be achieved when one believes in themselves."
"40, woman, turning lead into gold","

This 40-year-old woman has shoulder-length auburn hair, green eyes and a typically pale complexion. She regularly wears comfortable and neutral-toned clothing. Despite her age, she appears young as a result of her superpower. She has the ability to turn lead into gold and does so at will. Everyone around her feels in awe of her superpower, including her family and friends. She is kind and generous with her gift, often helping others out with small amounts of gold for whatever their needs may be. Her power is nothing short of extraordinary and is deeply admired by all who come in contact with her."
"40, woman, immortality","

This 40-year-old woman possesses a remarkable power of immortality. She has long, wavy auburn hair, bright green eyes and a heart-shaped face. Her skin is soft and smooth, although looks aged and slightly weathered. She is dressed in a long, plain green dress with enough accessories to tell her stories of a timeless life. Her aura is strong, wise, and calming. She enjoys being in nature and spending time caring for animals and despite being immortal, she still appreciates the little things life has to offer. She emits a sense of beauty, knowledge, and wisdom while bringing a sense of awe and security to those around her."
"40, woman, immortality","

A 40-year-old woman with curves in all the right places, she balances an air of resting intensity with a subtle smile--you never quite know what she's thinking. Her long black hair is soft and cool to the touch, with violet eyes both mischievous and knowing that draw many to her. She lives a life of mystery due to her superpower of immortality--her secrets likewise seeming to be also unending. She has a notable air of self-possession and confidence that's both inviting and distant--you can't help but be drawn to her curious nature."
"40, woman, immortality","

Mai Li stood 5’7” tall with a slim athletic figure. She had long black hair that curled slightly at the ends and large deep brown eyes. Her complexion was light and flawless, and small laugh lines around her eyes only served to add to her beauty. Mai Li had the superpower of immortality, never aging past 40 though years of experience showed in her expression. She wore a long black coat draped across her shoulders and a deep red scarf wrapped loosely around her neck, attire meant to hide her unusual ability. Despite her immortality, Mai Li was quite human with a kind heart, smart wit and a subtle strength that often spoke without words."
"40, woman, telepathy","

Mariyah was a 40-year old woman of average height and medium build. Her skin was olive-hued, and she had large dark brown eyes that hinted of an inner wisdom. Her shoulder-length midnight black hair was streaked with grey, and her lips were full and gentle. She always dressed in casual, yet elegant attire. The superpower of telepathy she possessed allowed her to communicate with the thoughts of others, and although she had learned to control it well, she still often found herself tuning out of conversations or getting into someone else's head without actually wanting to. Her presence was calming, almost like a reassurance that everything was going to be alright."
"40, woman, telepathy","

This 40-year-old woman is a formidable supernatural entity with a superpower of telepathy. She has dark brown hair which is tied back in a long braid, tanned skin, and a sharp gaze that pierces anyone she looks at. Her posture is confident and she radiates an aura of strength, intelligence and a sense of extraordinary power. In her presence, most people feel intimidated and unaware of her special capabilities. She has the potential to detect and interpret the thoughts of others and often uses this skill to her advantage. Her knowledge about people and situations makes her exceptionally cunning and she is capable of outplaying her opponents."
"40, woman, telepathy","

Diane is a 40-year-old woman with shoulder-length, honey red hair and soft, brown eyes. She has an average build and a subtle sense of poise and grace. She is generally reserved and measured in her conversations but her true power lies in her ability to read people's thoughts and feelings. This telepathy power has granted her a deep understanding for not just what people are saying but what they are thinking. By hearing such strong thoughts she can intuit even the nuance of feelings and intentions. A wise and patient woman, Diane is able to use her power to help those in need."
"40, woman, teleport","

Jessica is a 40-year-old woman of medium height with dark hair and blue eyes. She always dresses stylishly and is well-respected in her community. Despite her mild-mannered facade, Jessica possesses an extraordinary power: the ability to teleport. By simply focusing her mind, she can instantly travel anywhere in the world. With this power, Jessica has done incredible work, helping those in need, thwarting criminals and restoring justice. She’s an example of courage and strength, someone who isn’t afraid of taking risks in order to do what is right. She is a symbol of hope for a better tomorrow."
"40, woman, teleport","

A tall, curvaceous 40-year-old woman with smooth and porcelain-like skin, large dark eyes, and a wild mane of coppery-red hair that cascades along her back. She was born with the superpower of teleportation- enabling her to move from place to place almost instantaneously. Her speed, agility, and ability to move silently has made her a living legend in her hometown. Yet with this power comes a haunting loneliness that never fades. She yearns for the companionship of a normal life, yet the way she moves is so sudden and unpredictable that she's quite often alone."
"40, woman, teleport","

Bettie is a 40-year-old woman with long, chestnut-brown hair that cascades past her shoulders. Her eyes are a deep emerald, and her skin has a healthy golden hue. She radiates confidence and strength. Her superpower of teleport gives her the ability to instantly travel from one place to another. She can use this power to get out of any situation quickly, but it has its limits; she must be able to see where she is going for it to work. She is a strong and capable woman who uses her superpowers responsibly and often to help others."
"40, woman, flight","

She stands five foot six, her green eyes twinkling in the sunlight, her shoulder-length blonde hair swaying in the gentle breeze. Her body is athletic, trained and balanced, her movements precise and confident. She wears a deep blue flying suit which hugs her curves, emblazoned with a yellow-gold lightning bolt to represent her superpower of flight. Her face gives away the knowledge and responsibility she has shouldered for most of her forty years, but the occasional smile draws attention to the warmth and hospitality she freely offers. She broadens her back, tilts her chin, and offers her arms to the sky. With a powerful propulsion of air and will, she dives into the clouds and soars past the tallest mountains."
"40, woman, flight","

She stands at 5’6” tall, with a slim but strong physique, wavy brown hair that hangs just past her shoulders and deep green eyes full of curiosity. She dresses stylishly but comfortably in muted colors and nondescript patterns, never wanting to draw too much attention.

Though she carries herself with confidence, in reality she hides a special power: the ability to fly. Despite the 40 years of her life, she’s still learning the intricacies of her ability and her limits, toying with the idea of being a superhero. However, she never does it for any other reason than the thrill of feeling the freedom of the air."
"40, woman, flight","

Jane is a 40 year old woman with long brunette hair, almond-shaped grey eyes, and a fair complexion. She stands at 5’7” and is proudly fit and athletic in build. Though she’s never done professional modelling, her beauty is often remarked upon. Jane has the superpower of flight, and loves soaring through the skies. Her body is naturally light, allowing her to effortlessly float in the air. When she flies, a white aura radiates around her and the air feels electric. Jane’s flights are full of graceful spins, turns, flips and dives; her poise and strength in the air makes it appear effortless. She’s a sight to behold, and many find themselves in awe of this powerful beauty."
"50, man, invisibility","


This 50-year-old man stands at a modest 5’ 8” tall, has a muscular frame and fair skin. He has bright blue eyes, a hooked nose, and a resolute jawline. His light brown hair is shorthaired and graying, but carries a look of faded strength. He is elegantly dressed in a tailored suit, ever conscious of his superpower of invisibility. In his presence, he carries an air of mystery, as if every conversation is filled with hidden meaning and knowledge. He speaks with a soft yet strong voice, carefully choosing his words with precision and accuracy. His smile reveals knowledge, wisdom and experience, yet he remains open to the fresh discovery of new ideas. A true master of his power, his outward appearance only betrays a hint of the steady control with which he wields his superpower."
"50, man, invisibility","

He is a middle-aged man, fifty-years-old, with short grey hair, a slightly wrinkled face, and tired eyes. His clothing is mostly dark and unassuming, like he prefers to blend into the background. He stands at a healthy height, with a slender yet sturdy frame, with neutral posture and a sense of ease around him. His superpower is the unique ability to conceal himself from others: by bending light around himself, almost as if he were invisible. His invisibility increases his importance and power; he can observe the negatives of humanity without consequence and effect change through careful manipulation."
"50, man, invisibility","

Standing at 5ft 10in, this scruffy, 50-year-old man looks much older. His long, unkempt hair and beard are lightly streaked with gray, and his deep-set eyes are cold and slightly bloodshot. His clothes are loose and well-worn, put together from the various garments he has picked up throughout the years. But his superpower of invisibility is the most remarkable thing about him - it enables him to move through tight spaces without detection, to remain unseen in plain sight, and to stop worldly enemies from destroying that which he holds most dear. He carries himself with an air of mystery and power, knowing exactly when to use his ability to advance his cause."
"50, man, read in the thoughts","

50-year-old James is an average looking man with a kind face and an infectious smile. He stands at 6'1"" with graying hair and a small frame. He wears a light brown suit with a white dress shirt and brown dress shoes. James has the extraordinary ability to read the thoughts of those around him. He uses this superpower sparingly, preferring instead to live his life with the same level of caution and thoughtfulness as any other mortal. He is wise and compassionate, often able to detect and sympathize with the feelings of those he encounters. His superpower has granted him incredible insight into human nature and has enabled him to give sound advice to many troubled souls."
"50, man, read in the thoughts","

This man is a 50-year-old with a wiry body, greying temples and deep blue eyes. Dressed casually, he carries an aura of wisdom, confidence and capability. Despite age, he moves like a panther, intelligence and power shimmering in his every step. His superpower is the ability to read thoughts and memories, a trait which he has used to help those suffering or in need. But he also keeps his power a secret; as it's an inviolable moral rule. This enigmatic elder is a humble soul, his actions often inspired by his internal compass of right and wrong."
"50, man, read in the thoughts","

This 50-year-old man stands tall at 6 feet, embodying a powerful frame. His jet-black hair is speckled with greys, showing the wisdom he has gained over the years. Accompanying his dark mahogany eyes are thin framed glasses. With his supernatural power of being able to read thoughts, this man is seen as a mysterious figure in the eyes of many. Aggressively determined, his telepathy often leads to his success. His ability is both a burden and a superpower. He also possess an unwavering sense of empathy and understanding others. His strong presence commands respect and awe."
"50, man, turning lead into gold","

Blake is a 50-year-old man with graying hair and weathered skin, a result of years spent in the outdoors and performing physical labor. He wears a ragged but comfortable pair of jeans and a white t-shirt beneath a denim jacket. While often unassuming and mild-mannered, his piercing gaze commands attention and gives away the extraordinary power he holds within his hands. Years ago, he discovered he had the ability to transmute lead into gold with a single touch and with it a long and humble life of service to his community. Despite the tremendous power at his disposal, he has kept his superpower secret, using it only when the need of his fellow man outweighs his own personal gain."
"50, man, turning lead into gold","

Fifty-year-old Barry is a distinguished looking man of average height and toned muscles set off by his tailored suit. His slick, neatly trimmed salt-and-pepper hair, the hint of a dimpled smile, and his warm, sparkling blue eyes draw people in. A daunting mental acuity is matched with the power to turn lead into gold by simply touching it, a superpower he gained due to a mysterious accident involving a supercollider. He is savvy, ambitious, and wise beyond his age, yet he still exudes a certain unassuming charm. An aura of confidence and remarkable strength mark this man as a formidable character."
"50, man, turning lead into gold","

Standing at 5'10 and slimly built, this 50-year-old man has a handsome face, gray eyes and tousled brown hair. His voice is strong and friendly, with a faint Italian accent. He wears a long black coat, black slacks and and a grey scarf, but his most notable feature is a black glove over his right hand. His superpower to turn lead into gold is hinted at by the gold dust often found sparkles around him. His has a kind, gentle disposition and is usually concerned with the wellbeing of others. Despite his superpower, he prefers to remain low-key and lives a modest lifestyle. To those who meet him, he projects an air of wisdom and knowledge that belies his age."
"50, man, immortality","

At 50 years old, he had looked the same age since his youth. His skin was soft and unblemished, with not a single wrinkle to be seen. His silvery-grey hair reached halfway down his back and his eyes were an inviting deep blue. Despite being half a century old, he emanated a youthful energy. But the most remarkable thing about him was his superhuman gift of immortality. He had been granted this power by a mysterious benefactor and ever since, he had been granted eternity. This kind and wise old man had used such gift to help others, endeavoring to make the world a better place."
"50, man, immortality","

John is a 50-year-old man who appears to be in the peak of physical health. He has piercing blue eyes and a strong jawline, with disheveled brown hair that gives him a wild, untamable look. His body is toned and athletic, having never aged a day in the long centuries he has existed due to his unique superpower - immortality. He has a gracious, wise aura about him and seems to be infinite in his knowledge, having seen much of the world he has set out to explore throughout his long lifespan. He wears a black leather jacket and blue jeans, and is always seen with a friendly smirk on his face, ever ready to take on whatever adventures await."
"50, man, immortality","

This 50-year-old man may have the appearance of a normal individual, but what lies beneath is a power that has allowed him to keep his youthful body for all eternity. He boasts a full head of thick black hair and olive-toned skin that has hardly aged. His eyes are a deep brown, and behind them lies a knowledge and understanding that surpasses any mortal. He has a slender, yet athletic build, and a powerful presence that commands attention from all those around him. With this power, he has lived life to the fullest, adventures that include situations few could ever fathom. Yet for him, it’s just the beginning."
"50, man, telepathy","

This fifty-year-old man is tall and lean with short, salt-and-pepper hair. His face is weathered, with laugh lines around his eyes and deep furrows between his brows. He has grey-green eyes that watch everything around him with a sharp, alert gaze. His superpower is telepathy - he can sense and interpret the thoughts and feelings of those around him. His expression is usually serious, but if he's amused or surprised, his mouth turns up in a fleeting smile. His confidence and wisdom come from years of experience from understanding both the thoughts and hearts of others."
"50, man, telepathy","

James is a 50-year-old man with a muscular physique and an air of confidence. He wears a black, tight leather outfit and has brown hair with some generous flecks of grey. His face is stern yet kind, with deep-set blue eyes that seem to know things beyond what mortals could hope to comprehend. His superpower of telepathy allows him to communicate with others through the sheer power of his mind and to gain insight into their thoughts and emotions. In order to protect the innocent from harm, he has devoted his life to fighting against those who seek to use his powers for evil deeds. He is a strong ally, both literal and figurative, when called into action."
"50, man, telepathy","

This fifty-year-old man has a weathered and gentle face, his kind eyes hint to a shrewdness. His salt-and-pepper hair is usually unkempt and left to its own devices, a testament to his disregard for the vanities of his peers. He stands tall and proud, a commanding presence that belies his peaceful nature.
 
This man has the superpower of telepathy, allowing him to read the minds of those around him. He is able to grasp the underlying emotions, thoughts and motivations hidden behind an individual's conversations and actions. He acts as a guardian angel to his friends and family in times of need, aiding them with his power and his sage advice."
"50, man, teleport","

Dubbed the ""Portal King,"" this fifty-year-old man has the incredible power of teleporting himself in the blink of an eye. His trademark grey hair, ice-cold eyes, and svelte 6.2-foot body give him a rather regal look. He wears a black and red uniform with a ""Portal King"" insignia, complete with a pair of large boots and a cape. His superpower enables him to open up small portals and quickly travel from one place to another. Whenever he teleports, he leaves a trail of orange-yellow lights, making him easily recognizable. Despite his immense powers, he chooses to remain anonymous and help innocent people, protecting them from the injustices of the world."
"50, man, teleport","

50-year-old Calvin is a slender, sharp-featured man, with piercing blue eyes and jet black hair. His superpower of Teleport allows him to travel with the blink of an eye to any place in the world. With just a thought, he can traverse to his intended destination, no matter how far away. Calvin is a wise, highly adaptive and analytical, who uses his teleport power strategically and tactfully. He's kept his power a secret, and only his closest confidants know, who rely on Calvin's trustworthiness and ability to help them in any kind of situation."
"50, man, teleport","

He stands tall, his aged skin tanned from his many journeys and his gray eyes always full of curiosity. His 50 years of life experienced have been filled with remarkable feats of courage and wisdom, evidenced by the many scars and wrinkles that adorn his face. His hair is speckled with hues of silver and brown, the mane of a lion who had seen it all. By day, he is a professional, able to instantly materialize from one place to another at will, his superpower of teleportation earned through many hard-fought battles. A sharp sense of humour often hidden behind his stoic exterior, and a heart that wishes to help those in need, make him a beloved figure by all."
"50, man, flight","

John is a 50-year-old man with grizzled black hair and a trim physique. He sports a regular 5 o’clock shadow and two piercing blue eyes that illuminate his whole face. He has the unique superpower of flight and has been able to take to the sky since he was a teenager. His wings are made of energy and are as wide as he is tall. They glow blue, just like his eyes. He wears a style of clothing to suit his adventurous lifestyle - a rugged brown leather jacket, tight blue jeans and black riding boots with thick tread. His confident posture and stare have given him an aura of nobility and power. He’s rarely seen without a joyful smile and a twinkle in his eye."
"50, man, flight","

This 50-year-old man stands at a commanding six and a half feet tall with a muscular frame, defined arms, and a square jaw covered by a collage of salt and pepper stubble. His deep brown eyes captivate the attention of passersby. His hair is unkempt, yet undeniably attractive. His superpower gives him the ability to fly at unbelievable speeds and has granted him the ease of traversing the world and granting him unseen perspectives. His mere presence has caused many to gasp as he soars through the air from rooftop to rooftop. Being able to free himself from the laws of gravity has enabled him to take on the game-changing responsibilities of being a superhero."
"50, man, flight","

Owen was a 50-year-old, tall and slender man with a strong build and intense blue eyes. His neatly trimmed beard and short, grey hair gave him an air of experience and wisdom. His superpower was the ability to fly, he could achieve a height of up to 10,000 feet, move at remarkable speeds and also hover in one spot. His power was dependent on his intense level of concentration, if his mind wavered, he would quickly descend to the ground. With this power, he was able to help others and protect them from harm. He was respected by those around him, and his courage was admirable."
"50, woman, invisibility","

This woman is 50 years old, with long brown hair that is graying at the temples, and stunning blue eyes that have a hint of life experience in them. She stands at 5’7 with a slim yet athletic physique. She dresses modestly yet fashionably, and carries an air of confidence and self- assurance about her. Her superpower of invisibility is the result of a long-kept family secret, something that she has learned to use to her advantage. She uses her power without hesitation, disappearing into the shadows and re-emerging seconds later, whenever duty calls. Her stealthy manner makes her incomparably talented at any task that requires quick thinking and unfaltering stealth."
"50, woman, invisibility","

Kamila is a 50-year-old woman with chestnut brown hair, graying at the temples. Her eyes are a deep green, framed by an expressive face that manages to look both warm and guarded simultaneously. She always wears a pair of aviator sunglasses that add to her mysterious air. Her posture is always perfect, adding to her aura of control. Her superpower of invisibility has served her well, allowing her to move through life undisturbed and unseen. Her movements are always precise and quiet; even when visible, she almost seems to drift as if she wasn't truly there. Her presence is always otherworldly, as if her focus were elsewhere."
"50, woman, invisibility","

This fifty-year-old woman looks much younger than her age with her long black hair, deep brown eyes, and slightly mischievous smile. She has an athletic frame and moves with a grace and confidence of a warrior. Her superpower of invisibility allows her to move through the crowds unseen and unquestioned. She can move through the shadows and hide in plain sight, undetected. Her ability not only provides her with a sense of liberation but also a sense of security. With her special power she is nearly untraceable, allowing her to operate in secret. She is a force to be reckoned with, and her enemies know it."
"50, woman, read in the thoughts","

Liz is a 50-year-old woman with glossy black hair with flecks of grey tucked up into a low, tidy bun. She radiates with a calming presence making her instantly approachable. Her hazel eyes twinkle with a wisdom of time and dedication to her craft. Her superpower of reading thoughts renders her with a special intuition of the hearts and minds of those around her. While her superpower can be unsettling to those not used to it, Liz has mastered it and uses it cautiously, compassionately and judiciously. Her light, graceful steps donning her simple yet exquisite wardrobe exude an enigma of authority, quiet grace, and respect."
"50, woman, read in the thoughts","

This 50-year-old woman stands tall yet gentle, with dark salt-and-pepper hair that curls around her shoulders. She possesses an air of confidence, and her aura commands respect. Her wisdom is evident in her light green eyes, and one can tell she has seen the depths of people’s souls. Combining her superpower of reading thoughts with her experienced intuition, she can look at someone and perceive the truth beyond their story. She prefers not to use her gifts, as it often brings more burden than joy. Her secret desire is to find a way of freely helping others."
"50, woman, read in the thoughts","

This 50-year-old woman is a master of reading minds. She has the power to access the thoughts of those around her, allowing her to understand the motivations and intentions of those she encounters. Her long, dark hair is greying at the temples. She's tall, with a slim and athletic build and friendly, intelligent eyes. Her voice exudes confidence and wisdom as she speaks. She wears a long flowing black dress that hides her aged wrinkles and her shapely figure. Though she rarely displays emotion, when she does, it speaks volumes of the emotions running through her head. She is unfaltering in her resolve, and never passes judgment. Those that know her, love her strong spirit and ability to see what lies beneath the surface."
"50, woman, turning lead into gold","

Valeria stands at five foot four, with a voluptuous figure. Her silver hair cascades around her shoulders in a bob bob cut, and although she is fifty years old, a pair of emerald green eyes glimmer and still twinkle with the optimism of youth. Her shoulder-hugging gown, made with rich navy silk, ties at her waist, only showcasing her powers as tiny flecks of lead dust shimmer against her skin. With a simple touch, she can turn ordinary lead into solid bars of gleaming gold. An almost mythical aura exudes from her as she stands, an awe inspiring figure of pure potential."
"50, woman, turning lead into gold","

This 50-year-old woman is a charismatic, powerful character with a commanding presence. She stands confidently at 5'8"", with a well-toned, athletic body that complements her striking brown eyes, short strawberry-blonde hair and fair complexion. Her eternal youthfulness is emphasized by her insatiable enthusiasm for life and tempers her more serious and thoughtful demeanor.

She carries an air of profound wisdom as an experienced time-traveler and has an ancient yet timeless familiarity. Her unique superpower of transforming lead into gold serves as a symbol of her infinite resourcefulness, courage and strength of will. Those few fortunate enough to witness her power are left in awe, forever changed by its majestic radiance."
"50, woman, turning lead into gold","

This 50-year-old woman stands confidently with an aura of power radiating from her like the warmth from a fire. She has auburn hair that reaches the middle of her back and her skin has a gentle and subtle glow. Her eyes are a light brown color like honey and her lips are full and slightly puckered like a rosebud. She always wears a solid gold necklace as a reminder of her ability to turn lead into gold. Her superpower has served her well, allowing her to achieve many successes and build a fortune. Despite her financial success, she never fails to help those in need with her golden touch."
"50, woman, immortality","

Maria is a 50-year-old woman with shoulder-length white hair, deep blue eyes and a friendly, inviting expression. She moves with a grace and ease that hints of her immortal superpower. Although she looks mature, she carries herself with a youthful energy and enthusiasm. She wears a simple but elegant black dress with subtle silver details. Maria has a certain wisdom and knowledge that comes from her age and experience in life, yet she also keeps an open and curious mind to new ideas. Above all, Maria is kind and gentle, an immortal who uses her superpower to wander the world, helping those in need and exploring the wonders of life."
"50, woman, immortality","

She is a 50-year-old woman with skin like porcelain, her delicate and petite frame barely discernable beneath an old, tattered, blood-stained robe. Her long brunette locks abandon down to her lower back, streaked with grey just like her piercing and vigilant blue eyes. Her grace and unusual composure can be attributed to her superhuman ability to live through all times and ages, granting her immaculate features and a sense of timelessness that accompany her wherever she goes. Even the faint traces of scars that adorn her body, hinting at the struggles of ages past, are a testament to her indestructible nature."
"50, woman, immortality","

At first glance, the 50-year-old woman looks like any normal woman - her hair streaked with grey, a few wrinkles around her eyes, and a kind smile. Yet, beneath her facade is something few know of - she has the superpower of immortality. Her body may age, but her power keeps her from ever truly growing old. She's seen the world change and evolve countless times, learning to remain adaptable, yet still carrying her quiet strength within her. Her knowledge is vast and her insight profound, becoming a quiet wisdom accomplished only by years of living. She carries a peaceful air around her, with a serenity that would still radiate even without her immortality."
"50, woman, telepathy","

This 50-year-old woman has chocolate brown shoulder-length hair, almond-shaped green eyes, and a petite frame. She's not particularly imposing, but her presence is intimidating nonetheless. She wears her daily meditation practice in her presence. Her superpower, Telepathy, allows her to hear and interpret the thoughts, feelings, memories, and plans of those around her. With concentration, she can project her own thoughts, feelings, and desires into the minds of others. She uses her power with great caution and wisdom; understanding the sacred nature of an individual's inner thoughts."
"50, woman, telepathy","

This 50-year-old woman has a soft yet determined presence, her eyes wide and brown, her long, black hair flowing around the slender frame of her body. Though her superpower of telepathy isn't always on display, a flicker of luminous energy radiates around her when she is using her power. She speaks wisely and quietly, often having known the true feelings of those around her without them having to speak. Though she carries the powers of enlightenment, she isn't always certain what the answers to life’s mysteries are. But she knows she will be ready when the time finally comes."
"50, woman, telepathy","

A fifty-year-old woman with a lithe and nimble figure walks with a grace that belies her age. She has hazel eyes that sparkle even in the dimmest of light and thick, curly hair, only slightly tinged with silver. Her face reflects the wisdom that she has acquired over a lifetime of experience and her bearing radiates calm and assurance. She possesses a unique talent--the ability to read minds and sense the thoughts of others. This superpower of telepathy gives her a greater understanding of the world and of people and it has opened a new realm of possibilities for her. Despite her extraordinary ability, she remains humble and generous of spirit."
"50, woman, teleport","

Jessica, a 50-year-old woman, has the superpower of teleportation. She stands a proud 5'4"", with shoulder-length brown hair and steel blue eyes. She wears slightly holey jeans and a faded blue t-shirt from a trip she took years before. She keeps a few pieces of jewelry to remember love ones she has lost. Her superpower gives her the unique ability to teleport anywhere she desires, leaving a faint sparkle in her wake. She has used her gift in countless ways but has also learned to protect and control it to keep herself, and others, safe. She has a special bond with the place she calls ""home"" and an unspoken agreement to always return."
"50, woman, teleport","

She is fifty years old with wavy grey hair, a round face and warm brown eyes. Her most remarkable feature is her ability to teleport anywhere she desires. Whenever she suits up in her full spandex bodysuit, she vanishes in a flash of pale purple light and finds herself instantaneously transported to her chosen destination. She is wise and experienced, having saved many lives and solved countless mysteries. With her newfound superpower, she uses her agility, strength, and quick-thinking to help everyone in need. Although she is aging, her amazing power shows no sign of diminishing. She is a living example of beauty, brains, and bravery."
"50, woman, teleport"," 

Liz stands 5'2"" tall and wears a simple plain grey dress. With her warm brown eyes, she has a gentle expression and a comforting presence. She wears her grey hair in a short bob, never with too much flair. Liz has a slender physique and moves quickly and gracefully. Despite her age, she still retains her youthful agility and her graceful movements combined with her superpower of teleportation give her an aura of mystery. Every once in a while, she appears out of nowhere and disappears the same way - always with a mysterious smile. "
"50, woman, flight","

Fifty-year-old Rita Wilson is an impressive sight with her grey hair cascading down her back in the wind and fair skin almost aglow with a power that emanates from her entire being. Her emerald green eyes, sparkling with a hidden wildness, suggest something otherworldly and hint at her superpower: flight. She is graceful and agile in the air, flying in and around the clouds, seeming weightless as if gravity does not affect her. But when grounded, there is a tangible strength in her form as she stands tall and sure despite her years. Despite her remarkable power, Rita is down-to-earth, compassionate and wise in her approach to life and its challenges."
"50, woman, flight","

Anna was a 50-year-old woman with flowing, black hair and bright green eyes. She had pale, freckled skin and a petite frame. She wore a long, navy dress and green, knee-length boots with her initials engraved in the toes. Anna wore a cream-colored cloak around her shoulders. Her superpower was the ability to fly, and she often soared through the sky with a peaceful, graceful ease. She could go anywhere with a quick flutter of her wings and was never hindered by barriers like time or distance. Whenever she flew, she felt free and able to take on the world."
"50, woman, flight","

A fifty-year-old woman stands proud, gasping at the thrill of the open sky. Long, wavy chestnut hair cascades down her well-proportioned frame. Her eyes, shimmering emeralds that remind one of the deep, summer sea. Her lips, a perfect rich cherry hue. She wears a bronze thigh-length dress with opalescent embroidery, lined with sky-blue accents, cinched at the waist. She can walk on air, soaring effortlessly into the unknown. Her superpower of flight enables her to boldly explore beyond conventional boundaries, with courage and independence. Fearless yet graceful - this woman is a true embodiment of power and grace."
